price,surface,localisation,description,nombre_pieces,rue,link
1600.0,66.0, Paris 20ème (75),"SANS HONORAIRES. SANS HONORAIRES.Résidence récente située entre le secteur 'Gambetta' et 'Père-Lachaise'. Appartement T3 de 66m² au 1er étage avec ascenseur comprenant : une entrée avec placard, un séjour lumineux avec une cuisine ouverte, trois chambres avec placard, salle de bain (baignoire) et WC. Une place de parking et cave comprises dans les charges. Résidence gardiennée et sécurisée. LAC / Logement Abord.contract.",3,Inconnu,https://immobilier.lefigaro.fr/annonces/annonce-49428136.html
1450.0,54.39, Paris 20ème (75),"A deux pas du métro Pelleport, nous vous proposons ce loft atypique de 54.39 m² avec une chambre en mezzanine de 11.80 m² carrez, une cuisine et une salle de bains avec baignoire et douche.Climatisation. Belle hauteur sous plafond.

Loft très lumineux grâce à sa verrière et de son exposition Sud-Ouest. 

Bail vide.

A visiter sans tarder, coup de cœur assuré!",2,Inconnu,https://immobilier.lefigaro.fr/annonces/annonce-49376650.html
3600.0,110.0, Paris 20ème (75),75020 Paris: Rue des Pyrénnées - Sur Jardin au calme - magnifique Duplex de 4/5 pièces - meublé de 110&nbsp;m² + terrasse de 11&nbsp;m² - grand salon avec cuisine américaine équipée - 3 chambres - 3 salles de bains ou douches - sur jardin - au calme - 3600 €.,4,Rue des Pyrénnées,https://immobilier.lefigaro.fr/annonces/annonce-49334290.html
2615.0,67.0, Paris 20ème (75),Boutique sur deux niveaux composée de 42 m² en rez-de-chaussée et 25 m² en sous-sol communiquant par un escalier intérieur. Sanitaires au sous-sol. Rideau de fer électrique.,-1,Inconnu,https://immobilier.lefigaro.fr/annonces/annonce-49268996.html
1387.0,59.0, Paris 20ème (75),"SANS HONORAIRES. Résidence située à deux pas du métro (Porte de Bagnolet) et du secteur Gambetta, secteur du 20ème arrondissement de Paris. SANS HONORAIRES.Appartement T2 59m² situé (dans une rue calme) au 5ème étage avec ascenseur comprenant : une entrée avec placard, un séjour lumineux, une cuisine séparée (non équipée), une chambre avec placard disposant d'un balcon, une salle de bain et WC séparé. Place de stationnement (parking) et cave inclus dans les charges. Logement entièrement refait à neuf. Disponible de suite. LAC / Logement Abord.contract.",2,Rue Calme,https://immobilier.lefigaro.fr/annonces/annonce-49100294.html
1760.0,60.45, Paris 20ème (75),"Nous vous proposons cet appartement ENTIEREMENT Rénové de type 3 pièces d'une surface de 60,45 m2 très lumineux et sans vis-à-vis + 2 BOX. Il se trouve au pied de la station T3 'Marie de Miribel', à quelques pas de Porte de Bagnolet (3) et Mairie de Montreuil (9) et bénéficie donc des commerces, écoles et commodités à proximité.
 Au 5ème étage (avec ascenseur), il est composé d'une entrée, d'une cuisine aménagée et équipée (hotte, plaques, four) ouverte sur le séjour, de deux chambres, d'un dressing, d'une salle de bain et d'un wc séparé. Double vitrage, parque pvc étanche...
 Pour rappel, deu…",3,Inconnu,https://immobilier.lefigaro.fr/annonces/annonce-49050160.html
1050.0,59.57, Lyon 6ème (69),"Rue Godefroy, venez découvrir ce joli T2 d'une surface de 59,57m² situé dans un immeuble au calme au 3ème étage avec ascenseur. Il se compose d'une entrée, un séjour avec alcôve, une cuisine aménagée et équipée (plaques et hotte) avec alcôve, une chambre, une salle de bains et un WC séparé. Une cave et un grenier complètent ce bien. Charges comprenant les charges de copropriété, le chauffage, l'eau chaude, l'eau froide et la taxe d'ordures ménagères. Disponible à compter du 05/11/2022. Zone soumise à l'encadrement des loyers : Loyer de référence : 14.10euros/m² Loyer majoré : 16.90euros/m…",2.0,Inconnu,https://immobilier.lefigaro.fr/annonces/annonce-49408428.html
990.0,54.31, Lyon 9ème (69),"EXCLUSIVITE ORPI!. A louer, un T3 de 54.31m² situé 3 Rue du 3 septembre
contactez l’annonceur
LYON.. Proximité METRO D / VALMY. . Cet appartement comprend un hall d'entrée, une pièce de vie avec cuisine équipée (hotte, plaque à induction, frigo et four), une salle de bain, deux chambres, un WC et une terrasse de 9m².. Chauffage individuel électrique.. A proximité des commerces. Disponible de suite . . Visite virtuelle : https://my.matterport.com/show/?m=NshGZ4nvDP2. . Loyer HC : 836 euros. Complément de loyer : 64euros. Charges : 90 euros (parties communes). Dépôt de garantie : 900euros. Honoraires vi…",3.0,Inconnu,https://immobilier.lefigaro.fr/annonces/annonce-49398738.html
1850.0,72.0, Lyon 2ème (69),"Exclusivité à la location



Superbe appartement style T2 entièrement rénové et meublé.



Prestations et mobilier haut de gamme.



1 Chambre séparée en suite avec bureau attenant.



2 petits balcons sur la rue Emile ZOLA.



Produit très rare disponible au 1er octobre.



Votre Bonapartiste :
contactez l’annonceur",2.0,Inconnu,https://immobilier.lefigaro.fr/annonces/annonce-49366258.html
990.0,56.01, Lyon 8ème (69),"8 bis rue Hugues Guérin, appartement de type 3 de 56 m² au 1er étage d'une copropriété récente avec piscine, sans ascenseur, comprenant une entrée avec placard, une pièce de vie avec cuisine ouverte aménagée et équipée d'une plaque de cuisson et d'une hotte, un balcon de 5,90m² , deux chambres avec placards, une salle de bains et WC séparés. . Une place de parking en sous sol sécurisé. . chauffage individuel électrique . Disponible immédiatement. . Loyer majoré 784,14euros. complément de loyer 130,86euros",3.0,Inconnu,https://immobilier.lefigaro.fr/annonces/annonce-49350398.html
